image,prompt_type,baseline,tadn,f1_improvement
t6,thermal_aware,0.0,0.034,0.034
t4,basic,0.103,0.129,0.025
t4,structured,0.139,0.154,0.014
t9,basic,0.0,0.01,0.01
t4,thermal_aware,0.148,0.156,0.009
t8,structured,0.004,0.005,0.001
t8,basic,0.0,0.0,0.0
t9,structured,0.002,0.001,-0.0
t9,thermal_aware,0.001,0.0,-0.001
t3,thermal_aware,0.029,0.028,-0.001
t6,structured,0.037,0.034,-0.003
t8,thermal_aware,0.004,0.0,-0.004
t6,basic,0.039,0.035,-0.004
t2,thermal_aware,0.011,0.0,-0.011
t2,structured,0.027,0.006,-0.021
t2,basic,0.025,0.0,-0.025
t3,basic,0.045,0.008,-0.037
t3,structured,0.055,0.005,-0.051
